Name,confId,E_eV,lam_low,state,f_low,pop,azo_dih_deg,Lmax_exp
Ntz,0,-37064.29035,550.0,1,0.1405,0.9998,176.5,601.0
Ntz,1,-37064.05228,501.0,1,0.511,0.0001,-177.9,601.0
Ntz,2,-37064.0488,510.9,1,0.5973,0.0001,179.4,601.0
Nbztz,0,-41244.31942,499.1,1,0.5831,0.352,178.0,588.0
Nbztz,1,-41244.31942,499.2,1,0.5831,0.352,-178.0,588.0
Nbztz,2,-41244.31496,495.6,1,0.5767,0.296,-178.0,588.0
diNO2,0,-33463.2108,526.2,1,0.1917,0.3326,-179.3,578.0
diNO2,1,-33463.21044,521.4,1,0.1896,0.3279,179.0,578.0
diNO2,2,-33463.21109,530.8,1,0.1882,0.3363,178.9,578.0
diNO2,3,-33462.98029,534.2,1,0.1525,0.0,179.9,578.0
diNO2,4,-33463.09158,583.0,1,0.1921,0.0032,179.7,578.0
iso-CN,0,-27355.06586,432.1,1,0.2438,0.9968,-177.0,548.0
iso-CN,2,-27354.90032,448.6,1,0.2642,0.0016,175.2,548.0
iso-CN,4,-27354.90032,448.3,1,0.2647,0.0016,-175.3,548.0
p-NO2,0,-27899.89126,547.3,1,0.2135,0.2008,-177.5,525.0
p-NO2,1,-27899.89085,556.7,1,0.2242,0.1976,177.2,525.0
p-NO2,2,-27899.89131,547.3,1,0.2135,0.2012,177.5,525.0
p-NO2,3,-27899.89131,547.2,1,0.2135,0.2012,-177.5,525.0
p-NO2,4,-27899.89106,556.2,1,0.2221,0.1992,-177.2,525.0
o-NO2,0,-27899.81988,613.9,1,0.1131,0.9953,177.4,547.0
o-NO2,1,-27899.58457,631.1,1,0.1239,0.0001,-178.0,547.0
o-NO2,2,-27899.66419,624.3,1,0.138,0.0023,172.1,547.0
o-NO2,3,-27899.66408,624.8,1,0.1372,0.0023,-172.1,547.0
couCF3,0,-38709.01786,649.3,1,0.4553,0.1409,-177.3,525.0
couCF3,1,-38709.02947,635.8,1,0.422,0.2213,-179.2,525.0
couCF3,2,-38709.02808,630.3,1,0.4062,0.2097,178.0,525.0
couCF3,3,-38709.02951,639.2,1,0.4154,0.2216,177.5,525.0
couCF3,4,-38709.02769,630.1,1,0.4058,0.2065,-177.9,525.0
Bzthz,0,-43036.60389,488.3,1,0.7884,0.2548,177.4,503.0
Bzthz,1,-43036.59536,486.3,1,0.78,0.1828,177.1,503.0
Bzthz,2,-43036.59751,491.3,1,0.8204,0.1988,-177.7,503.0
Bzthz,3,-43036.61302,489.6,1,0.8098,0.3636,-177.1,503.0
p-CN,0,-24845.59133,433.5,1,0.2532,0.0054,-178.2,498.0
p-CN,1,-24845.6945,453.7,1,0.2619,0.3,-177.5,498.0
p-CN,2,-24845.69466,454.0,1,0.2624,0.302,177.5,498.0
p-CN,3,-24845.70141,455.5,1,0.2682,0.3926,177.5,498.0
p-OCF3,0,-33552.3039,439.7,1,0.1757,0.2435,177.2,465.0
p-OCF3,1,-33552.22426,406.3,1,0.1472,0.011,-179.7,465.0
p-OCF3,2,-33552.29886,444.5,1,0.1787,0.2001,177.5,465.0
p-OCF3,3,-33552.31047,441.6,1,0.1771,0.3145,-177.0,465.0
p-OCF3,4,-33552.30253,437.4,1,0.1749,0.2309,176.9,465.0
p-F,0,-25036.04917,441.0,1,0.1872,0.5175,177.2,452.0
p-F,1,-25036.04735,440.4,1,0.1822,0.4822,-177.5,452.0
p-F,2,-25035.85758,410.3,1,0.1864,0.0003,-176.0,452.0
p-tButyl,0,-26614.42892,435.7,1,0.1539,0.2227,-178.0,448.0
p-tButyl,1,-26614.42438,437.7,1,0.1633,0.1866,178.5,448.0
p-tButyl,2,-26614.42154,430.7,1,0.1476,0.1671,-177.6,448.0
p-tButyl,3,-26614.42311,430.1,1,0.1538,0.1776,177.5,448.0
p-tButyl,4,-26614.43149,436.3,1,0.1519,0.2461,179.2,448.0
p-OCH3,0,-25451.85912,447.4,1,0.1729,0.3336,-177.7,445.0
p-OCH3,1,-25451.85908,447.6,1,0.1729,0.3332,-177.7,445.0
p-OCH3,3,-25451.85909,447.2,1,0.1729,0.3332,177.7,445.0
OMeCarb,0,-31651.58041,375.6,1,0.1348,0.1721,177.0,384.0
OMeCarb,1,-31651.57873,371.6,1,0.1303,0.1612,177.1,384.0
OMeCarb,2,-31651.58857,380.1,1,0.1055,0.2364,-179.3,384.0
OMeCarb,3,-31651.58442,375.2,1,0.1237,0.2011,-177.1,384.0
OMeCarb,4,-31651.58778,377.2,1,0.098,0.2293,-177.8,384.0
OCF3Carb,0,-39752.05305,369.9,1,0.0955,0.3511,-179.6,379.0
OCF3Carb,1,-39752.04486,371.8,1,0.1234,0.2553,177.1,379.0
OCF3Carb,2,-39752.04337,371.7,1,0.1256,0.2409,176.9,379.0
OCF3Carb,3,-39752.03164,367.5,1,0.1442,0.1526,-178.0,379.0
